"A302103 - Means of transportation (18) (Workers 16 years and over)"
"Current date: 12/9/2021 4:33:44 PM (Eastern Standard Time)"
"RESIDENCE","WORKPLACE","Means of Transportation 18","Output","Workers 16 and Over",
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Total, means of transportation","Estimate","10"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Total, means of transportation","Margin of Error","15"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Car, truck, or van -- Drove alone","Estimate","10"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","15"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Walked","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Other method","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Auto","Estimate","10"
"TAZ 00100420, Santa Clara County, California","TAZ 00101598, Marin County, California","Auto","Margin of Error","30"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Total, means of transportation","Estimate","10"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Total, means of transportation","Margin of Error","17"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- Drove alone","Estimate","10"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","17"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Walked","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Other method","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Auto","Estimate","10"
"TAZ 00100467, Santa Clara County, California","TAZ 00101560, Marin County, California","Auto","Margin of Error","32"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Total, means of transportation","Estimate","15"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Total, means of transportation","Margin of Error","29"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- Drove alone","Estimate","15"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","29"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Walked","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Other method","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Auto","Estimate","15"
"TAZ 00100497, Santa Clara County, California","TAZ 00101560, Marin County, California","Auto","Margin of Error","39"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Total, means of transportation","Estimate","4"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Total, means of transportation","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Car, truck, or van -- Drove alone","Estimate","4"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Walked","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Other method","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Auto","Estimate","4"
"TAZ 00100573, Santa Clara County, California","TAZ 00101532, Marin County, California","Auto","Margin of Error","29"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Total, means of transportation","Estimate","20"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Total, means of transportation","Margin of Error","37"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Car, truck, or van -- Drove alone","Estimate","20"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","37"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Walked","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Other method","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Auto","Estimate","20"
"TAZ 00100582, Santa Clara County, California","TAZ 00101515, Marin County, California","Auto","Margin of Error","46"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Total, means of transportation","Estimate","10"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Total, means of transportation","Margin of Error","16"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Car, truck, or van -- Drove alone","Estimate","10"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","16"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Walked","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Other method","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Auto","Estimate","10"
"TAZ 00100584, Santa Clara County, California","TAZ 00101613, Marin County, California","Auto","Margin of Error","31"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Total, means of transportation","Estimate","15"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Total, means of transportation","Margin of Error","22"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- Drove alone","Estimate","15"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- Drove alone","Margin of Error","22"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Subway or elevated","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Railroad","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Ferryboat","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Bicycle","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Walked","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Taxicab","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Motorcycle","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Other method","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Worked at home","Margin of Error","12"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Auto","Estimate","15"
"TAZ 00100654, Santa Clara County, California","TAZ 00101637, Marin County, California","Auto","Margin of Error","34"
