"A302103 - Means of transportation (18) (Workers 16 years and over)"
"Current date: 12/8/2021 2:45:27 PM (Eastern Standard Time)"
"RESIDENCE","WORKPLACE","Means of Transportation 18","Output","Workers 16 and Over",
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Total, means of transportation","Estimate","30"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Total, means of transportation","Margin of Error","49"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Car, truck, or van -- Drove alone","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Car, truck, or van -- In a 2-person carpool","Estimate","30"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","49"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Subway or elevated","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Railroad","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Ferryboat","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Bicycle","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Walked","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Taxicab","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Motorcycle","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Other method","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Worked at home","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Auto","Estimate","30"
"TAZ 00102529, Contra Costa County, California","TAZ 00100011, Sonoma County, California","Auto","Margin of Error","56"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Total, means of transportation","Estimate","4"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Total, means of transportation","Margin of Error","19"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Car, truck, or van -- Drove alone","Estimate","4"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Car, truck, or van -- Drove alone","Margin of Error","19"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Subway or elevated","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Railroad","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Ferryboat","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Bicycle","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Walked","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Taxicab","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Motorcycle","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Other method","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Worked at home","Margin of Error","12"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Auto","Estimate","4"
"TAZ 00102529, Contra Costa County, California","TAZ 00100289, Sonoma County, California","Auto","Margin of Error","33"
"TAZ 00102530, Contra Costa County, California","TAZ 00100102, Sonoma County, California","Total, means of transportation","Estimate","45"
"TAZ 00102530, Contra Costa County, California","TAZ 00100102, Sonoma County, California","Total, means of transportation","Margin of Error","42"
"TAZ 00102530, Contra Costa County, California","TAZ 00100102, Sonoma County, California","Car, truck, or van -- Drove alone","Estimate","45"
"TAZ 00102530, Contra Costa County, California","TAZ 00100102, Sonoma County, California","Car, truck, or van -- Drove alone","Margin of Error","42"
"TAZ 00102530, Contra Costa County, California","TAZ 00100102, Sonoma County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00102530, Contra Costa County, California","TAZ 00100102, Sonoma County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00102530, Contra Costa County, California","TAZ 00100102, Sonoma County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
