"A302103 - Means of transportation (18) (Workers 16 years and over)"
"Current date: 3/3/2020 9:44:44 PM (Eastern Standard Time)"
"RESIDENCE","WORKPLACE","Means of Transportation 18","Output","Workers 16 and Over",
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Total, means of transportation","Estimate","10"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Total, means of transportation","Margin of Error","15"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Car, truck, or van -- Drove alone","Estimate","10"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Car, truck, or van -- Drove alone","Margin of Error","15"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Subway or elevated","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Railroad","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Ferryboat","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Bicycle","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Walked","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Taxicab","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Motorcycle","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Other method","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Worked at home","Margin of Error","12"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Auto","Estimate","10"
"TAZ 00101901, San Mateo County, California","TAZ 00100223, Sonoma County, California","Auto","Margin of Error","30"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Total, means of transportation","Estimate","10"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Total, means of transportation","Margin of Error","22"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Car, truck, or van -- Drove alone","Estimate","10"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Car, truck, or van -- Drove alone","Margin of Error","22"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Car, truck, or van -- In a 2-person carpool","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Car, truck, or van -- In a 3-person carpool","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Car, truck, or van -- In a 4-person carpool","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Car, truck, or van -- In a 5-or-6-person carpool","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Car, truck, or van -- In a 7-or-more-person carpool","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Bus or trolley bus","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Streetcar or trolley car","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Subway or elevated","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Railroad","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Ferryboat","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Bicycle","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Walked","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Taxicab","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Motorcycle","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Other method","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Worked at home","Margin of Error","12"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Auto","Estimate","10"
"TAZ 00101973, San Mateo County, California","TAZ 00100317, Sonoma County, California","Auto","Margin of Error","34"
"TAZ 00102036, San Mateo County, California","TAZ 00100334, Sonoma County, California","Total, means of transportation","Estimate","25"
"TAZ 00102036, San Mateo County, California","TAZ 00100334, Sonoma County, California","Total, means of transportation","Margin of Error","36"
"TAZ 00102036, San Mateo County, California","TAZ 00100334, Sonoma County, California","Car, truck, or van -- Drove alone","Estimate","25"
"TAZ 00102036, San Mateo County, California","TAZ 00100334, Sonoma County, California","Car, truck, or van -- Drove alone","Margin of Error","36"
